x,y,z
147.059791645,80.9658952446,839.818309653
146.696768064,80.9490005989,839.815807585
146.335083728,80.9317580532,839.81326274
145.974758078,80.9141695863,839.810675127
145.615809994,80.8962372016,839.808044757
145.258257792,80.8779629254,839.805371637
144.902119226,80.8593488065,839.802655778
144.547411488,80.8403969149,839.79989719
144.194151208,80.821109341,839.797095882
143.842354455,80.8014881944,839.794251865
143.492036739,80.7815356032,839.791365149
143.143213013,80.7612537129,839.788435745
142.795897674,80.7406446853,839.785463663
142.450104568,80.7197106979,839.782448914
142.105846992,80.6984539426,839.77939151
141.763137698,80.6768766253,839.776291461
141.421988894,80.6549809641,839.773148779
141.082412252,80.6327691894,839.769963476
140.744418913,80.6102435423,839.766735564
140.408019486,80.587406274,839.763465054
140.073224061,80.564259645,839.760151959
139.740042207,80.540805924,839.756796291
139.408482982,80.5170473873,839.753398062
139.078554939,80.4929863178,839.749957287
138.750266131,80.4686250045,839.746473976
138.423624117,80.443965741,839.742948144
138.098635968,80.4190108258,839.739379804
137.775308276,80.3937625604,839.73576897
137.453647161,80.3682232493,839.732115654
137.133658275,80.3423951992,839.728419871
136.815346812,80.3162807178,839.724681635
136.498717514,80.2898821136,839.72090096
136.183774682,80.2632016951,839.717077861
135.870522176,80.2362417699,839.713212352
135.558963434,80.2090046445,839.709304448
135.249101468,80.1814926231,839.705354163
134.940938881,80.1537080073,839.701361514
134.634477871,80.1256530957,839.697326515
134.329720239,80.0973301829,839.693249182
134.026667398,80.068741559,839.689129531
133.725320382,80.0398895095,839.684967577
133.425679853,80.0107763141,839.680763336
133.127746109,79.9814042466,839.676516826
132.831519094,79.9517755745,839.672228061
132.536998405,79.9218925582,839.667897059
132.244183298,79.8917574504,839.663523838
131.953072703,79.8613724963,839.659108412
131.663665224,79.8307399326,839.654650801
131.375959152,79.7998619873,839.65015102
131.089952474,79.768740879,839.645609088
130.805642878,79.737378817,839.641025023
130.523027761,79.7057780006,839.636398842
130.242104241,79.6739406188,839.631730563
129.962869161,79.6418688501,839.627020205
129.685319098,79.6095648617,839.622267785
129.409450373,79.5770308099,839.617473324
129.135259053,79.5442688392,839.612636839
128.862740966,79.5112810822,839.60775835
128.591891705,79.4780696595,839.602837875
128.322706632,79.4446366792,839.597875434
128.055180892,79.4109842369,839.592871047
127.789309418,79.377114415,839.587824733
127.525086933,79.343029283,839.582736512
127.262507967,79.308730897,839.577606404
127.001566854,79.2742212997,839.57243443
126.742257745,79.23950252,839.56722061
126.484574615,79.2045765728,839.561964965
126.228511264,79.1694454591,839.556667515
125.974061331,79.1341111657,839.551328281
125.721218294,79.0985756649,839.545947285
125.469975481,79.0628409147,839.540524548
125.220326074,79.0269088584,839.535060092
124.972263114,78.9907814244,839.529553937
124.72577951,78.9544605267,839.524006107
124.480868043,78.9179480641,839.518416623
124.237521371,78.8812459203,839.512785508
123.995732038,78.8443559642,839.507112783
123.755492473,78.8072800494,839.501398472
123.516795003,78.7700200143,839.495642597
123.279631854,78.7325776821,839.489845181
123.043995157,78.6949548606,839.484006248
122.809876952,78.6571533423,839.478125821
122.577269193,78.6191749044,839.472203923
122.346163758,78.5810213087,839.466240578
122.116552444,78.5426943014,839.46023581
121.88842698,78.5041956136,839.454189643
121.661779027,78.4655269608,839.448102101
121.436600186,78.4266900431,839.441973209
121.212881997,78.3876865452,839.435802991
120.990615948,78.3485181363,839.429591472
120.769793475,78.3091864706,839.423338677
120.550405971,78.2696931865,839.417044632
120.332444785,78.2300399073,839.410709361
120.115901226,78.1902282411,839.404332889
119.900766571,78.1502597806,839.397915244
119.687032063,78.1101361034,839.39145645
119.47468892,78.0698587719,839.384956533
119.263728331,78.0294293334,839.378415521
119.054141467,77.9888493203,839.371833438
118.845919479,77.9481202499,839.365210313
118.639053503,77.9072436244,839.35854617
118.43353466,77.8662209316,839.351841039
118.229354066,77.8250536441,839.345094944
118.026502826,77.78374322,839.338307915
117.824972041,77.7422911027,839.331479978
117.624752812,77.7006987212,839.324611161
117.425836239,77.6589674898,839.317701491
117.228213425,77.6170988085,839.310750997
117.03187548,77.5750940631,839.303759708
116.836813519,77.532954625,839.29672765
116.64301867,77.4906818517,839.289654854
116.450482068,77.4482770865,839.282541347
116.259194867,77.4057416588,839.275387158
116.069148233,77.3630768842,839.268192317
115.88033335,77.3202840645,839.260956852
115.692741424,77.277364488,839.253680794
115.506363678,77.2343194292,839.246364171
115.321191362,77.1911501493,839.239007014
115.137215746,77.1478578963,839.231609353
114.954428128,77.1044439046,839.224171217
114.772819835,77.0609093959,839.216692636
114.592382219,77.0172555786,839.209173643
114.413106665,76.9734836482,839.201614266
114.234984587,76.9295947874,839.194014537
114.058007434,76.8855901663,839.186374486
113.882166687,76.8414709424,839.178694146
113.707453862,76.7972382604,839.170973547
113.533860512,76.7528932531,839.163212721
113.361378226,76.7084370406,839.1554117
113.189998631,76.6638707312,839.147570515
113.019713393,76.6191954209,839.139689198
112.850514218,76.5744121939,839.131767783
112.682392853,76.5295221225,839.1238063
112.515341086,76.4845262673,839.115804783
112.349350746,76.4394256772,839.107763265
112.184413707,76.3942213899,839.099681778
112.020521885,76.3489144314,839.091560355
111.857667241,76.3035058166,839.083399031
111.69584178,76.2579965492,839.075197837
111.535037555,76.2123876217,839.066956808
111.375246661,76.166680016,839.058675978
111.216461241,76.1208747028,839.050355381
111.058673487,76.0749726423,839.04199505
110.901875636,76.028974784,839.03359502
110.746059972,75.982882067,839.025155326
110.59121883,75.9366954198,839.016676002
110.43734459,75.8904157607,839.008157084
110.284429684,75.844043998,838.999598605
110.132466591,75.7975810297,838.991000601
109.98144784,75.7510277439,838.982363108
109.831366009,75.7043850188,838.973686161
109.682213726,75.6576537229,838.964969796
109.53398367,75.610834715,838.956214049
109.386668569,75.5639288444,838.947418955
109.240261201,75.516936951,838.938584551
109.094754396,75.4698598651,838.929710873
108.950141032,75.422698408,838.920797959
108.806414039,75.3754533919,838.911845843
108.663566399,75.3281256198,838.902854565
108.521591142,75.2807158857,838.89382416
108.380481351,75.233224975,838.884754665
108.240230158,75.1856536642,838.875646119
108.100830747,75.1380027211,838.866498558
107.962276352,75.0902729052,838.857312021
107.824560258,75.0424649671,838.848086546
107.687675801,74.9945796495,838.83882217
107.551616366,74.9466176867,838.829518931
107.41637539,74.8985798046,838.820176869
